,section_number,section_title,equation,variables
0,1,Section 1,"{""expression"": ""x-x \\\\text{ axis along a member}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""2cfa4e1f-744e-429d-91f8-e2efcf0c03ac"", ""description"": ""The x-x axis is the longitudinal axis along the member."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""2cfa4e1f-744e-429d-91f8-e2efcf0c03ac"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""7428aa91-6096-4981-b09f-b18de708d848"", ""description"": ""x-x axis along a member"", ""name"": ""x"", ""parent_uuid"": ""2cfa4e1f-744e-429d-91f8-e2efcf0c03ac"", ""uuid"": ""7428aa91-6096-4981-b09f-b18de708d848"", ""type"": ""variable""}]"
1,1,Section 1,"{""expression"": ""y-y \\\\text{ axis of a cross-section}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""5203bba8-9473-420f-aa9f-0470634a4135"", ""description"": ""The y-y axis is the vertical axis of a cross-section."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""5203bba8-9473-420f-aa9f-0470634a4135"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""47906c6b-56e4-482a-b92f-0ce8e76339e0"", ""description"": ""y-y axis of a cross-section"", ""name"": ""y"", ""parent_uuid"": ""5203bba8-9473-420f-aa9f-0470634a4135"", ""uuid"": ""47906c6b-56e4-482a-b92f-0ce8e76339e0"", ""type"": ""variable""}]"
2,1,Section 1,"{""expression"": ""z-z \\\\text{ axis of a cross-section}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""3d57a809-46f3-4a1b-bec1-16520beab9f9"", ""description"": ""The z-z axis is the horizontal axis of a cross-section."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""3d57a809-46f3-4a1b-bec1-16520beab9f9"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""f104cba3-5400-4456-b37f-419d81a166cd"", ""description"": ""z-z axis of a cross-section"", ""name"": ""z"", ""parent_uuid"": ""3d57a809-46f3-4a1b-bec1-16520beab9f9"", ""uuid"": ""f104cba3-5400-4456-b37f-419d81a166cd"", ""type"": ""variable""}]"
3,1,Section 1,"{""expression"": ""u-u \\\\text{ major principal axis}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""3803066a-ce4e-4b8f-abc0-a86513893e35"", ""description"": ""The u-u axis is the major principal axis, not coinciding with the y-y axis."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""3803066a-ce4e-4b8f-abc0-a86513893e35"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""8ee7fb0b-4f69-4150-a907-41da6142bac4"", ""description"": ""major principal axis"", ""name"": ""u"", ""parent_uuid"": ""3803066a-ce4e-4b8f-abc0-a86513893e35"", ""uuid"": ""8ee7fb0b-4f69-4150-a907-41da6142bac4"", ""type"": ""variable""}]"
4,1,Section 1,"{""expression"": ""v-v \\\\text{ minor principal axis}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""37a4e304-46f7-4189-97a1-c087dd6a0a7b"", ""description"": ""The v-v axis is the minor principal axis, not coinciding with the z-z axis."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""37a4e304-46f7-4189-97a1-c087dd6a0a7b"", ""type"": ""equation"", ""output_variable"": ""None""}","[{""unit"": ""None"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""9b2f1377-a981-4ffd-adb0-ff36b72c4fc1"", ""description"": ""minor principal axis"", ""name"": ""v"", ""parent_uuid"": ""37a4e304-46f7-4189-97a1-c087dd6a0a7b"", ""uuid"": ""9b2f1377-a981-4ffd-adb0-ff36b72c4fc1"", ""type"": ""variable""}]"
5,1,Section 1,"{""expression"": ""b \\\\text{ width of a cross section}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""de7f9e9d-f4a2-4078-9829-fcb8a9986919"", ""description"": ""The width of the cross section."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""de7f9e9d-f4a2-4078-9829-fcb8a9986919"", ""type"": ""equation"", ""variables"": []}",[]
6,1,Section 1,"{""expression"": ""h \\\\text{ depth of a cross section}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""90374ae4-1624-4ae4-b414-74575ba976d3"", ""description"": ""The depth of the cross section."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""90374ae4-1624-4ae4-b414-74575ba976d3"", ""type"": ""equation"", ""variables"": []}",[]
7,1,Section 1,"{""expression"": ""d \\\\text{ depth of straight portion of a web}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""a19f5dbb-8d6a-49f4-af09-03f81483d271"", ""description"": ""The depth of the straight portion of a web."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""a19f5dbb-8d6a-49f4-af09-03f81483d271"", ""type"": ""equation"", ""variables"": []}",[]
8,1,Section 1,"{""expression"": ""t_{w} \\\\text{ web thickness}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""3f3a1d96-fe34-4e48-a576-1196eb095a02"", ""description"": ""The thickness of the web."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""3f3a1d96-fe34-4e48-a576-1196eb095a02"", ""type"": ""equation"", ""variables"": []}",[]
9,1,Section 1,"{""expression"": ""t_{f} \\\\text{ flange thickness}"", ""doc_uuid"": ""d418f507-711a-4f53-a9e6-472909def3ab"", ""chunk_uuid"": ""894aab11-f36d-481e-b286-dd506aaa6fa2"", ""description"": ""The thickness of the flange."", ""parent_uuid"": ""4efaa0c7-d405-4aa4-81f7-da41900cfb53"", ""uuid"": ""894aab11-f36d-481e-b286-dd506aaa6fa2"", ""type"": ""equation"", ""variables"": []}",[]
